adj.P.Val,logFC,Gene.symbol,Gene.title
1.43E-10,1.94194171,ACTN1,actinin alpha 1
1.43E-10,1.76613523,EXT1,exostosin glycosyltransferase 1
1.5E-10,2.61122505,PYGL,"phosphorylase, glycogen, liver"
1.56E-10,-2.03110428,TLE2,transducin like enhancer of split 2
1.56E-10,-2.53859091,FXYD1,FXYD domain containing ion transport regulator 1
1.65E-10,2.40885964,BAK1,BCL2 antagonist/killer 1
1.68E-10,-1.60166763,HADH,hydroxyacyl-CoA dehydrogenase
1.68E-10,-3.35682528,SLC25A4,solute carrier family 25 member 4
1.68E-10,-3.83384393,MYH11,myosin heavy chain 11
1.94E-10,-1.79118884,NNT,nicotinamide nucleotide transhydrogenase
1.94E-10,-2.07607789,PPP1R12B,protein phosphatase 1 regulatory subunit 12B
1.94E-10,-2.91749731,ACTG1P4,"actin gamma 1 pseudogene 4///amylase, alpha 2B (pancreatic)///amylase, alpha 2A (pancreatic)///amylase, alpha 1C (salivary)///amylase, alpha 1B (salivary)///amylase, alpha 1A (salivary)"
2.03E-10,3.18698116,RBP1,retinol binding protein 1
2.06E-10,2.4766166,TK1,thymidine kinase 1
2.06E-10,2.14715201,TP63,tumor protein p63
2.53E-10,2.55121008,YKT6,YKT6 v-SNARE homolog (S. cerevisiae)
2.53E-10,-1.36023574,SAP18,Sin3A associated protein 18
2.64E-10,1.25912507,SNRPB,small nuclear ribonucleoprotein polypeptides B and B1
2.66E-10,1.76651468,HIF1A,hypoxia inducible factor 1 alpha subunit
2.69E-10,1.89679193,TAP1,"transporter 1, ATP binding cassette subfamily B member"
2.69E-10,-3.09515229,GPD1,glycerol-3-phosphate dehydrogenase 1
2.99E-10,1.397536,MARCKS,myristoylated alanine rich protein kinase C substrate
2.99E-10,-2.66304931,EXOSC7,exosome component 7///C-type lectin domain family 3 member B
3.03E-10,-2.18489405,CFD,complement factor D
3.29E-10,2.59991868,MYO5A,myosin VA
3.5E-10,2.33024606,SCO2,SCO2 cytochrome c oxidase assembly protein
3.91E-10,1.47481118,HIST2H2AA4,"histone cluster 2, H2aa4///histone cluster 2, H2aa3"
3.91E-10,1.36670895,CCT5,chaperonin containing TCP1 subunit 5
3.91E-10,-3.66919589,COX7A1,cytochrome c oxidase subunit 7A1
4.02E-10,1.53796084,HTATIP2,HIV-1 Tat interactive protein 2
4.02E-10,1.38868839,ACTR3,ARP3 actin related protein 3 homolog
4.28E-10,1.5359138,CAP1,adenylate cyclase associated protein 1
4.43E-10,1.64763,MIF,macrophage migration inhibitory factor (glycosylation-inhibiting factor)
4.43E-10,1.63875185,PDCD10,programmed cell death 10
4.47E-10,-2.98610629,MYH11,myosin heavy chain 11
5.09E-10,2.63949926,STAT1,signal transducer and activator of transcription 1
5.09E-10,-2.19008396,DMD,dystrophin
5.68E-10,-2.19246365,MAOB,monoamine oxidase B
5.68E-10,-3.29585751,MYH11,myosin heavy chain 11
6.66E-10,0.91897306,PES1,pescadillo ribosomal biogenesis factor 1
7.03E-10,1.110092,DR1,down-regulator of transcription 1
7.03E-10,0.89958221,PPP4C,protein phosphatase 4 catalytic subunit
7.62E-10,2.16165186,HIST2H2AA4,"histone cluster 2, H2aa4///histone cluster 3, H2bb///histone cluster 2, H2aa3"
8.03E-10,1.42882632,YWHAQ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta
8.44E-10,-0.86075518,ARIH2,ariadne RBR E3 ubiquitin protein ligase 2
8.47E-10,2.14294721,MYO10,myosin X
8.47E-10,1.39425853,GSTP1,glutathione S-transferase pi 1
8.52E-10,-1.59823158,FRY,FRY microtubule binding protein
8.68E-10,1.36167699,YWHAQ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta
8.85E-10,2.26830284,CKS2,CDC28 protein kinase regulatory subunit 2
8.91E-10,1.85707586,GNAI1,G protein subunit alpha i1
9.11E-10,1.80520797,PRNP,prion protein
9.49E-10,1.71697483,ENO1,enolase 1
0.00000000101,-1.23858605,CTSF,cathepsin F
0.00000000101,-2.07562742,ACACB,acetyl-CoA carboxylase beta
0.00000000102,-1.71792031,PBX1,PBX homeobox 1
0.00000000108,1.34606622,ACLY,ATP citrate lyase
0.00000000111,2.5441593,CNGB1,cyclic nucleotide gated channel beta 1
0.0000000012,2.86564519,KIAA0101,KIAA0101
0.0000000012,1.77660971,PFN1,profilin 1
0.0000000012,-2.75085517,AMOT,angiomotin
0.00000000122,2.68077355,CDKN3,cyclin dependent kinase inhibitor 3
0.00000000122,0.83552433,AP2M1,adaptor related protein complex 2 mu 1 subunit
0.00000000123,1.39040306,GSTP1,glutathione S-transferase pi 1
0.00000000123,1.15537103,PRKDC,"protein kinase, DNA-activated, catalytic polypeptide"
0.00000000123,-2.69432949,ASPA,aspartoacylase
0.00000000126,1.39366327,SHC1,SHC adaptor protein 1
0.00000000126,0.98016474,YWHAH,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta
0.0000000014,-1.96156356,NFIB,nuclear factor I B
0.00000000148,-2.95969437,PPP1R1A,protein phosphatase 1 regulatory inhibitor subunit 1A
0.00000000152,2.53736408,ISG15,ISG15 ubiquitin-like modifier
0.00000000153,2.88526287,UBE2C,ubiquitin conjugating enzyme E2 C
0.00000000156,2.38491787,NUP155,nucleoporin 155
0.00000000156,2.06256516,IFI30,"IFI30, lysosomal thiol reductase///phosphoinositide-3-kinase regulatory subunit 2"
0.00000000156,1.14153216,DUSP11,dual specificity phosphatase 11
0.00000000156,-1.80661748,CDKN1C,cyclin dependent kinase inhibitor 1C
0.00000000156,-2.53081399,IGFBP5,insulin like growth factor binding protein 5
0.00000000159,2.25259395,CDC20,cell division cycle 20
0.00000000159,-1.20819511,DAAM2,dishevelled associated activator of morphogenesis 2
0.00000000161,-2.42519954,ENPP4,ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative)
0.00000000163,1.64350189,HLA-A,"major histocompatibility complex, class I, A"
0.00000000164,1.79496558,YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta
0.00000000169,-1.94497293,SYNGR1,synaptogyrin 1
0.00000000171,1.38873873,ACTL6A,actin like 6A
0.00000000172,-1.82168968,TSPYL5,TSPY like 5
0.00000000172,-2.12770529,TMEM47,transmembrane protein 47
0.00000000199,1.95632086,TUBB2A,tubulin beta 2A class IIa
0.00000000206,-1.84045575,IQCK,IQ motif containing K
0.00000000206,-2.87586561,ZBTB16,zinc finger and BTB domain containing 16
0.00000000227,2.91851558,MMP12,matrix metallopeptidase 12
0.00000000227,-2.22528355,RCAN2,regulator of calcineurin 2
0.00000000234,1.8177921,BASP1,brain abundant membrane attached signal protein 1
0.0000000024,1.18027504,EIF4A3,eukaryotic translation initiation factor 4A3
0.00000000244,2.23804511,FABP5,fatty acid binding protein 5
0.00000000244,2.14886138,POLR1C,RNA polymerase I subunit C
0.00000000244,2.06633687,IFI6,interferon alpha inducible protein 6
0.00000000244,-1.30348082,NFIB,nuclear factor I B
0.00000000253,3.06153844,PTHLH,parathyroid hormone like hormone
0.00000000272,2.10948835,TUBB2A,tubulin beta 2A class IIa
0.00000000272,1.97057242,TUBB2A,tubulin beta 2A class IIa
0.00000000286,0.97383619,HDGF,hepatoma-derived growth factor
0.00000000304,1.33268954,PGAM1,phosphoglycerate mutase 1
0.00000000323,2.54318718,COL1A2,collagen type I alpha 2 chain
0.00000000323,1.68944877,EPHB2,EPH receptor B2
0.0000000034,-1.655657,SCN4A,sodium voltage-gated channel alpha subunit 4
0.00000000343,3.19496428,PTHLH,parathyroid hormone like hormone
0.00000000376,1.46836113,IFI16,interferon gamma inducible protein 16
0.00000000379,-1.98059623,UTP20,"UTP20, small subunit processome component"
0.00000000389,2.39298865,CD44,CD44 molecule (Indian blood group)
0.00000000389,-4.00510887,APOD,apolipoprotein D
0.00000000409,-2.98370511,MFAP4,microfibrillar associated protein 4
0.00000000421,1.54660175,STK3,serine/threonine kinase 3
0.00000000426,2.05250525,PDPN,podoplanin
0.00000000429,2.45683576,CALR,calreticulin
0.00000000429,0.95679749,GARS,glycyl-tRNA synthetase
0.00000000429,-3.23332008,ADH1A,"alcohol dehydrogenase 1A (class I), alpha polypeptide"
0.00000000431,-1.87694983,SNURF,SNRPN upstream reading frame///small nuclear ribonucleoprotein polypeptide N
0.00000000485,-1.69888143,SLC29A2,solute carrier family 29 member 2
0.00000000519,2.44571372,PHLDA2,pleckstrin homology like domain family A member 2
0.00000000537,2.45187375,ITGA6,integrin subunit alpha 6
0.00000000537,-3.53097719,AMPD1,adenosine monophosphate deaminase 1
0.00000000561,1.72068249,ITGA3,integrin subunit alpha 3
0.00000000571,1.1449335,CFL1,cofilin 1
0.00000000584,-2.5601975,DLK1,delta like non-canonical Notch ligand 1
0.0000000059,1.49792639,SUB1,"SUB1 homolog, transcriptional regulator"
0.0000000059,1.39478423,RIN2,Ras and Rab interactor 2
0.0000000059,1.10703278,UBE2L3,ubiquitin conjugating enzyme E2 L3
0.00000000594,1.31750692,LOC101928634,"uncharacterized LOC101928634///SENP3-EIF4A1 readthrough (NMD candidate)///small nucleolar RNA, C/D box 10///small nucleolar RNA, H/ACA box 48///small nucleolar RNA, H/ACA box 67///eukaryotic translation initiation factor 4A1"
0.00000000612,-3.37101198,HSPB6,heat shock protein family B (small) member 6
0.00000000621,-2.12726747,FABP7,fatty acid binding protein 7
0.00000000626,2.28572569,ANXA2P1,annexin A2 pseudogene 1
0.00000000637,-1.58712941,GPR68,G protein-coupled receptor 68
0.00000000656,2.0330588,ANXA2,annexin A2
0.00000000656,-2.41380411,DPT,dermatopontin
0.00000000672,-1.69161793,CBX7,chromobox 7
0.00000000697,1.4532003,TUBB3,tubulin beta 3 class III
0.00000000697,-1.47445497,CPEB3,cytoplasmic polyadenylation element binding protein 3
0.00000000746,-0.9650741,PEBP1,phosphatidylethanolamine binding protein 1
0.00000000747,1.95070174,UBE2S,ubiquitin conjugating enzyme E2 S
0.00000000747,-3.43149463,PLN,phospholamban
0.0000000078,-1.33906556,NEURL1,neuralized E3 ubiquitin protein ligase 1
0.0000000078,-2.99407468,ABCA8,ATP binding cassette subfamily A member 8
0.00000000825,1.28629504,RAN,"RAN, member RAS oncogene family"
0.00000000874,1.85307637,SERPINE2,serpin family E member 2
0.00000000874,-2.19449467,TNXB,tenascin XB///tenascin XA (pseudogene)
0.00000000911,1.07484465,MIR6733,microRNA 6733///EBNA1 binding protein 2
0.00000000965,-3.48499403,MYH11,myosin heavy chain 11
0.0000000103,1.2646159,NME1,NME/NM23 nucleoside diphosphate kinase 1
0.0000000104,1.58358614,STAT1,signal transducer and activator of transcription 1
0.000000011,1.9185041,HDAC1,histone deacetylase 1
0.000000011,-3.10541253,CHRDL1,chordin like 1
0.0000000112,2.67653775,SERPINE1,serpin family E member 1
0.0000000115,2.24678569,DUSP14,dual specificity phosphatase 14
0.0000000116,2.71938138,LAMC2,laminin subunit gamma 2
0.0000000116,1.14110365,DNAJC9,DnaJ heat shock protein family (Hsp40) member C9
0.0000000116,0.95606716,TNFAIP1,TNF alpha induced protein 1
0.0000000116,-1.17728522,TACC2,transforming acidic coiled-coil containing protein 2
0.0000000119,1.57194024,TNFAIP3,TNF alpha induced protein 3
0.0000000119,-2.67188824,DPT,dermatopontin
0.0000000125,1.63069325,PCNA,proliferating cell nuclear antigen
0.0000000126,1.06176514,ITPA,inosine triphosphatase
0.0000000133,2.39744655,SNAI2,snail family transcriptional repressor 2
0.0000000133,2.26666409,FAP,fibroblast activation protein alpha
0.0000000135,1.49173874,HLA-F,"major histocompatibility complex, class I, F"
0.0000000136,2.33489683,MMP12,matrix metallopeptidase 12
0.0000000136,1.19941195,RAN,"RAN, member RAS oncogene family"
0.0000000144,1.46457473,HLA-C///HLA-B,"major histocompatibility complex, class I, C///major histocompatibility complex, class I, B"
0.0000000147,-1.07656917,RERE,arginine-glutamic acid dipeptide repeats
0.0000000164,3.27664136,S100A2,S100 calcium binding protein A2
0.0000000164,3.26598012,KRT16,keratin 16
0.0000000164,-1.51841167,NR3C2,nuclear receptor subfamily 3 group C member 2
0.0000000171,-3.10529929,ALDH1A1,aldehyde dehydrogenase 1 family member A1
0.0000000179,1.46297985,FEN1,flap structure-specific endonuclease 1
0.0000000179,0.90832325,CBX3,chromobox 3
0.0000000181,-2.43839591,GLRB,glycine receptor beta
0.0000000184,1.85884188,GART,"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase"
0.0000000184,1.67381566,BAK1,BCL2 antagonist/killer 1
0.0000000184,-3.20522433,CLIC5,chloride intracellular channel 5
0.0000000195,1.2982237,GMPS,guanine monophosphate synthase
0.0000000195,-1.75345767,NRG2,neuregulin 2
0.0000000196,1.40661828,P2RX5-TAX1BP3///TAX1BP3,P2RX5-TAX1BP3 readthrough (NMD candidate)///Tax1 binding protein 3
0.0000000196,1.33515399,PLK2,polo like kinase 2
0.0000000196,1.20114292,TUBA1B,tubulin alpha 1b
0.0000000198,-1.54853848,UBL3,ubiquitin like 3
0.0000000207,0.99092656,AP2S1,adaptor related protein complex 2 sigma 1 subunit
0.0000000213,2.02954683,PTK7,protein tyrosine kinase 7 (inactive)
0.0000000236,-1.82059916,LPIN1,lipin 1
0.0000000236,-4.66088706,PGAM2,phosphoglycerate mutase 2
0.0000000237,-1.74456889,GMPR,guanosine monophosphate reductase
0.000000024,-5.32257299,PYGM,"phosphorylase, glycogen, muscle"
0.0000000241,4.29509196,KRT16,keratin 16
0.0000000241,-1.57625897,NFIB,nuclear factor I B
0.0000000241,-2.43684985,AGTR1,angiotensin II receptor type 1
0.0000000241,-3.26555123,SGCA,sarcoglycan alpha
0.000000025,2.20057646,AIM2,absent in melanoma 2
0.000000025,1.64125221,STAT1,signal transducer and activator of transcription 1
0.0000000254,-4.33592037,CKMT2,"creatine kinase, mitochondrial 2"
0.0000000261,-3.0567217,SH3BGR,SH3 domain binding glutamate rich protein
0.0000000264,-2.27757224,ALDH6A1,aldehyde dehydrogenase 6 family member A1
0.0000000266,1.69919758,ITGA6,integrin subunit alpha 6
0.0000000271,1.76839089,IFI30///PIK3R2,"IFI30, lysosomal thiol reductase///phosphoinositide-3-kinase regulatory subunit 2"
0.0000000276,-2.08454644,PLP1,proteolipid protein 1
0.0000000282,1.39114233,NME1,NME/NM23 nucleoside diphosphate kinase 1
0.0000000282,-0.81324604,NUDT3,nudix hydrolase 3
0.0000000289,1.34965461,HLA-J,"major histocompatibility complex, class I, J (pseudogene)"
0.000000029,-2.23960045,DTNA,dystrobrevin alpha
0.0000000291,3.05013791,MMP9,matrix metallopeptidase 9
0.0000000291,2.34473314,BMP2,bone morphogenetic protein 2
0.0000000291,1.55817902,BOLA2,bolA family member 2
0.0000000291,-1.56692495,PBX1,PBX homeobox 1
0.0000000291,-3.10689899,PHYH,phytanoyl-CoA 2-hydroxylase
0.0000000293,1.42850848,UBE2L6,ubiquitin conjugating enzyme E2 L6
0.0000000293,1.10378197,ACTB,actin beta
0.0000000322,2.18772209,COL5A2,collagen type V alpha 2 chain
0.0000000322,1.99192505,CCNB2,cyclin B2
0.0000000322,1.02033497,TUBB,tubulin beta class I
0.0000000323,1.84249526,PLAUR,"plasminogen activator, urokinase receptor"
0.0000000323,-1.6988426,GPRC5B,G protein-coupled receptor class C group 5 member B
0.0000000323,-2.11469056,GATM,glycine amidinotransferase
0.0000000323,-2.18034117,PHKG1,phosphorylase kinase catalytic subunit gamma 1
0.0000000327,-2.12456754,CLDN5,claudin 5
0.0000000331,-2.20089993,LPL,lipoprotein lipase
0.0000000332,0.90065356,SNRPF,small nuclear ribonucleoprotein polypeptide F
0.0000000337,1.37769709,HDAC1,histone deacetylase 1
0.0000000337,-1.20302115,CEP68,centrosomal protein 68
0.000000034,1.53856295,DUSP7,dual specificity phosphatase 7
0.0000000354,-0.86549035,NECAB3,N-terminal EF-hand calcium binding protein 3
0.000000036,1.43327147,IFI35,interferon induced protein 35
0.000000036,0.86914743,TUBG1,tubulin gamma 1
0.0000000362,4.160903,S100A7,S100 calcium binding protein A7
0.0000000369,1.10148154,BZW1,basic leucine zipper and W2 domains 1
0.0000000372,-1.70232668,HSPB2,heat shock protein family B (small) member 2
0.0000000375,1.2101687,HSPA5,heat shock protein family A (Hsp70) member 5
0.0000000377,1.38040481,TRIP13,thyroid hormone receptor interactor 13
0.0000000379,0.84988372,ARPC2,actin related protein 2/3 complex subunit 2
0.0000000381,-1.24860734,AKAP1,A-kinase anchoring protein 1
0.0000000392,-1.15058063,IVD,isovaleryl-CoA dehydrogenase
0.0000000403,1.89621093,KPNA2,karyopherin subunit alpha 2
0.0000000405,1.51709995,ATP13A3,ATPase 13A3
0.0000000405,-1.20959548,ACADS,"acyl-CoA dehydrogenase, C-2 to C-3 short chain"
0.0000000415,2.04891271,BST2,bone marrow stromal cell antigen 2
0.0000000415,1.16712071,EIF6,eukaryotic translation initiation factor 6
0.0000000415,-2.33728289,IGFBP5,insulin like growth factor binding protein 5
0.000000042,-1.86832191,LMOD1,leiomodin 1
0.0000000424,1.80862901,YKT6,YKT6 v-SNARE homolog (S. cerevisiae)
0.0000000427,1.6951458,MDFI,MyoD family inhibitor
0.0000000427,-1.28541318,MAN2A2,mannosidase alpha class 2A member 2
0.0000000427,-2.10201174,TJP3,tight junction protein 3
0.0000000427,-2.30701829,CDKN1C,cyclin dependent kinase inhibitor 1C
0.0000000429,-2.36736082,IGFBP5,insulin like growth factor binding protein 5
0.0000000438,3.48388239,PI3,peptidase inhibitor 3
0.0000000439,1.14852436,TMEM135///DNAJB6,transmembrane protein 135///DnaJ heat shock protein family (Hsp40) member B6
0.0000000446,1.73149916,STAT1,signal transducer and activator of transcription 1
0.0000000446,1.12951313,PTPN12,"protein tyrosine phosphatase, non-receptor type 12"
0.0000000453,-3.29626388,GAMT,guanidinoacetate N-methyltransferase
0.0000000454,-2.04427417,SLC2A4,solute carrier family 2 member 4
0.0000000455,0.85459668,POLR2G,RNA polymerase II subunit G
0.0000000456,-3.29164622,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide"
0.0000000463,1.87604665,KCNJ15,potassium voltage-gated channel subfamily J member 15
0.0000000475,-1.31767337,PRELP,proline and arginine rich end leucine rich repeat protein
0.0000000481,1.12249494,BAZ1A,bromodomain adjacent to zinc finger domain 1A
0.0000000482,-1.98930992,TXNIP,thioredoxin interacting protein
0.0000000483,1.12710828,BCAP31,B-cell receptor-associated protein 31
0.0000000489,1.28609735,UBE2S,ubiquitin conjugating enzyme E2 S
0.0000000494,-2.40302356,MYOZ3,myozenin 3
0.0000000502,1.22870397,UBE2S,ubiquitin conjugating enzyme E2 S
0.0000000504,0.90389569,UFD1L,ubiquitin fusion degradation 1 like (yeast)
0.0000000513,1.8445898,STAM2,signal transducing adaptor molecule 2
0.0000000513,-1.66436058,NFIB,nuclear factor I B
0.0000000522,1.30038997,N4BP1,NEDD4 binding protein 1
0.0000000522,-2.48245324,PCDH9,protocadherin 9
0.0000000532,3.96634055,SERPINB4///SERPINB3,serpin family B member 4///serpin family B member 3
0.0000000534,1.2383936,CBX3,chromobox 3
0.0000000544,-1.81948332,PLCL2,phospholipase C like 2
0.0000000546,-0.97805664,WBP4,WW domain binding protein 4
0.0000000565,2.62148727,KRT75,keratin 75
0.0000000569,1.16923452,MTSS1,metastasis suppressor 1
0.0000000591,-2.02051768,KIF5C,kinesin family member 5C
0.0000000595,1.73972564,CAPG,"capping actin protein, gelsolin like"
0.0000000596,1.83389245,PNP,purine nucleoside phosphorylase
0.0000000596,1.04310544,RFC4,replication factor C subunit 4
0.0000000596,-2.54989823,RNASE4,ribonuclease A family member 4
0.0000000598,-1.65589165,HADH,hydroxyacyl-CoA dehydrogenase
0.0000000602,0.68565364,UBE2I,ubiquitin conjugating enzyme E2 I
0.0000000611,1.19540519,FADD,Fas associated via death domain
0.000000062,-1.49242741,GYPC,glycophorin C (Gerbich blood group)
0.000000062,-1.87400578,ACADM,"acyl-CoA dehydrogenase, C-4 to C-12 straight chain"
0.0000000625,2.01163815,MX1,MX dynamin like GTPase 1
0.0000000631,1.78209812,TNFSF10,tumor necrosis factor superfamily member 10
0.0000000631,-1.79649513,CYP2A13,cytochrome P450 family 2 subfamily A member 13
0.0000000647,-1.86632501,MITF,melanogenesis associated transcription factor
0.0000000652,1.67329829,CASP4,caspase 4
0.0000000652,1.02312119,MOB1A,MOB kinase activator 1A
0.0000000664,1.18845645,RPN1,ribophorin I
0.0000000665,-0.98835745,C21orf33,chromosome 21 open reading frame 33
0.0000000672,1.54363967,IFITM3,interferon induced transmembrane protein 3
0.0000000673,0.75872204,BUD31,BUD31 homolog
0.0000000678,1.5428387,LIMK2,LIM domain kinase 2
0.0000000683,1.43794333,PCMT1,protein-L-isoaspartate (D-aspartate) O-methyltransferase
0.0000000687,2.30783605,LAMA3,laminin subunit alpha 3
0.00000007,1.62183606,TPST1,tyrosylprotein sulfotransferase 1
0.0000000704,-3.06788102,PPP1R3C,protein phosphatase 1 regulatory subunit 3C
0.0000000708,0.89633199,GUK1,guanylate kinase 1
0.000000071,-2.51372814,DTNA,dystrobrevin alpha
0.0000000711,1.5005053,CLIC1,chloride intracellular channel 1
0.0000000725,-2.54314646,PKIA,"protein kinase (cAMP-dependent, catalytic) inhibitor alpha"
0.0000000729,1.70198699,ADAM10,ADAM metallopeptidase domain 10
0.0000000733,0.88688037,H2AFV,H2A histone family member V
0.0000000742,1.72538529,HIST2H4B///HIST4H4///HIST2H4A///HIST1H4L///HIST1H4E///HIST1H4B///HIST1H4H///HIST1H4C///HIST1H4J///HIST1H4K///HIST1H4F///HIST1H4D///HIST1H4A///HIST1H4I,"histone cluster 2, H4b///histone cluster 4, H4///histone cluster 2, H4a///histone cluster 1, H4l///histone cluster 1, H4e///histone cluster 1, H4b///histone cluster 1, H4h///histone cluster 1, H4c///histone cluster 1, H4j///histone cluster 1, H4k///histone cluster 1, H4f///histone cluster 1, H4d///histone cluster 1, H4a///histone cluster 1, H4i"
0.0000000752,-2.00447125,RGN,regucalcin
0.0000000759,3.66282902,MMP3,matrix metallopeptidase 3
0.0000000759,0.951215,ACTB,actin beta
0.0000000762,1.10285154,IFNGR1,interferon gamma receptor 1
0.0000000762,-2.08006493,RTN2,reticulon 2
0.0000000763,0.95149436,RAN,"RAN, member RAS oncogene family"
0.0000000763,-1.4058801,ETFDH,electron transfer flavoprotein dehydrogenase
0.0000000771,0.88525852,RBCK1,RANBP2-type and C3HC4-type zinc finger containing 1
0.0000000779,-2.37123742,HLF,"HLF, PAR bZIP transcription factor"
0.0000000793,2.81561082,CHST2,carbohydrate sulfotransferase 2
0.0000000793,1.15675752,IFITM2///IFITM3///IFITM1,interferon induced transmembrane protein 2///interferon induced transmembrane protein 3///interferon induced transmembrane protein 1
0.0000000801,-1.99324306,SORBS2,sorbin and SH3 domain containing 2
0.0000000806,0.88238099,YWHAB,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta
0.0000000816,1.17055419,EFNB1,ephrin B1
0.0000000819,-1.21177641,IL11RA,interleukin 11 receptor subunit alpha
0.000000082,-0.88173925,LTBP4,latent transforming growth factor beta binding protein 4
0.000000082,-1.51749877,MAN2A2,mannosidase alpha class 2A member 2
0.000000082,-2.78697912,PPP1R3C,protein phosphatase 1 regulatory subunit 3C
0.0000000831,2.04719875,CASP1,caspase 1
0.0000000831,1.21724906,NME1,NME/NM23 nucleoside diphosphate kinase 1
0.000000086,-0.94869149,ACSL3,acyl-CoA synthetase long-chain family member 3
0.0000000875,2.12491977,GM2A,GM2 ganglioside activator
0.0000000876,0.89879001,LOC101927137///CCT3,uncharacterized LOC101927137///chaperonin containing TCP1 subunit 3
0.0000000876,-1.84191463,MAPRE2,microtubule associated protein RP/EB family member 2
0.0000000896,4.35767241,MMP10,matrix metallopeptidase 10
0.0000000902,2.25432295,PTTG1,pituitary tumor-transforming 1
0.000000094,1.14453701,IRF9,interferon regulatory factor 9
0.0000000956,1.33954911,PCYT1A,"phosphate cytidylyltransferase 1, choline, alpha"
0.0000000956,-1.25067784,ACSL1,acyl-CoA synthetase long-chain family member 1
0.0000000956,-3.00549419,PLA2G16,phospholipase A2 group XVI
0.000000096,-3.76890046,SH3BGR,SH3 domain binding glutamate rich protein
0.0000000967,-1.60547781,GHR,growth hormone receptor
0.0000001,1.764706,NDRG1,N-myc downstream regulated 1
0.000000101,-0.76544884,CBR4,carbonyl reductase 4
0.000000102,2.43382857,APOBEC3B,apolipoprotein B mRNA editing enzyme catalytic subunit 3B
0.000000102,1.20607448,COPB2,coatomer protein complex subunit beta 2
0.000000102,-1.58379867,CYP27A1,cytochrome P450 family 27 subfamily A member 1
0.000000103,1.6378973,TK1,thymidine kinase 1
0.000000103,1.12422924,SSR1,signal sequence receptor subunit 1
0.000000103,-1.43567856,CCDC69,coiled-coil domain containing 69
0.000000104,-1.97883792,KIAA0368,KIAA0368
0.000000105,2.37274298,ITGA6,integrin subunit alpha 6
0.000000105,1.90233671,PTPRE,"protein tyrosine phosphatase, receptor type E"
